edad,genero,raza,fecha
30-39,Hombre,Blanco,2025-07-03
30-39,Hombre,Blanco,2025-07-03
20-29,Mujer,Blanco,2025-07-03
30-39,Hombre,Blanco,2025-07-03
30-39,Hombre,Blanco,2025-07-03
10-19,Hombre,Blanco,2025-07-03
30-39,Hombre,Blanco,2025-07-03
20-29,Mujer,Blanco,2025-07-03
10-19,Hombre,Blanco,2025-07-03
10-19,Hombre,Blanco,2025-07-03
20-29,Mujer,Blanco,2025-07-03
30-39,Hombre,Blanco,2025-07-03
30-39,Hombre,Blanco,2025-07-03
10-19,Hombre,Blanco,2025-07-03
0-9,Mujer,Blanco,2025-07-03
30-39,Hombre,Blanco,2025-07-03
20-29,Mujer,Blanco,2025-07-03
30-39,Mujer,Otros,2025-07-03
0-9,Mujer,Blanco,2025-07-03
70-79,Mujer,Blanco,2025-07-03
0-9,Hombre,Blanco,2025-07-03
0-9,Hombre,Blanco,2025-07-03
10-19,Hombre,Blanco,2025-07-03
0-9,Hombre,Indio,2025-07-03
0-9,Hombre,Blanco,2025-07-03
50-59,Mujer,Blanco,2025-07-03
20-29,Hombre,Blanco,2025-07-03
0-9,Hombre,Blanco,2025-07-03
0-9,Hombre,Blanco,2025-07-03
0-9,Hombre,Blanco,2025-07-03
0-9,Hombre,Blanco,2025-07-03
10-19,Hombre,Blanco,2025-07-03
0-9,Hombre,Blanco,2025-07-03
10-19,Mujer,Blanco,2025-07-03
10-19,Mujer,Blanco,2025-07-03
0-9,Hombre,Blanco,2025-07-03
10-19,Mujer,Blanco,2025-07-03
10-19,Mujer,Blanco,2025-07-03
10-19,Hombre,Blanco,2025-07-03
10-19,Hombre,Blanco,2025-07-03
10-19,Mujer,Blanco,2025-07-03
10-19,Hombre,Blanco,2025-07-03
10-19,Hombre,Blanco,2025-07-03
10-19,Hombre,Blanco,2025-07-03
0-9,Hombre,Blanco,2025-07-03
30-39,Hombre,Blanco,2025-07-03
40-49,Hombre,Blanco,2025-07-03
30-39,Mujer,Blanco,2025-07-03
30-39,Mujer,Blanco,2025-07-03
40-49,Hombre,Blanco,2025-07-03
40-49,Hombre,Blanco,2025-07-03
70-79,Hombre,Blanco,2025-07-03
30-39,Hombre,Blanco,2025-07-03
30-39,Mujer,Blanco,2025-07-03
30-39,Mujer,Indio,2025-07-03
10-19,Hombre,Otros,2025-07-03
40-49,Hombre,Blanco,2025-07-03
40-49,Hombre,Indio,2025-07-03
40-49,Hombre,Blanco,2025-07-03
30-39,Mujer,Asiático,2025-07-03
10-19,Hombre,Indio,2025-07-03
0-9,Hombre,Blanco,2025-07-03
10-19,Hombre,Blanco,2025-07-03
30-39,Hombre,Indio,2025-07-03
50-59,Hombre,Blanco,2025-07-03
20-29,Mujer,Blanco,2025-07-03
10-19,Mujer,Asiático,2025-07-03
10-19,Hombre,Blanco,2025-07-03
30-39,Hombre,Indio,2025-07-03
40-49,Hombre,Blanco,2025-07-03
20-29,Mujer,Blanco,2025-07-03
40-49,Hombre,Blanco,2025-07-03
40-49,Hombre,Blanco,2025-07-03
30-39,Hombre,Blanco,2025-07-03
40-49,Hombre,Blanco,2025-07-03
30-39,Hombre,Blanco,2025-07-03
40-49,Hombre,Blanco,2025-07-03
10-19,Hombre,Blanco,2025-07-03
30-39,Hombre,Asiático,2025-07-03
30-39,Hombre,Otros,2025-07-03
40-49,Mujer,Asiático,2025-07-03
70-79,Hombre,Blanco,2025-07-03
40-49,Mujer,Blanco,2025-07-03
30-39,Hombre,Blanco,2025-07-03
30-39,Hombre,Blanco,2025-07-03
40-49,Hombre,Blanco,2025-07-03
40-49,Hombre,Blanco,2025-07-03
40-49,Hombre,Blanco,2025-07-03
20-29,Mujer,Asiático,2025-07-03
30-39,Mujer,Asiático,2025-07-03
10-19,Mujer,Blanco,2025-07-03
10-19,Mujer,Blanco,2025-07-03
30-39,Hombre,Indio,2025-07-03
30-39,Hombre,Asiático,2025-07-03
20-29,Mujer,Otros,2025-07-03
10-19,Hombre,Blanco,2025-07-03
10-19,Hombre,Asiático,2025-07-03
30-39,Hombre,Otros,2025-07-03
30-39,Hombre,Otros,2025-07-03
10-19,Hombre,Indio,2025-07-03
30-39,Hombre,Asiático,2025-07-03
50-59,Hombre,Blanco,2025-07-03
70-79,Hombre,Blanco,2025-07-03
40-49,Mujer,Indio,2025-07-03
40-49,Mujer,Blanco,2025-07-03
30-39,Mujer,Blanco,2025-07-03
50-59,Hombre,Blanco,2025-07-03
60-69,Hombre,Blanco,2025-07-03
40-49,Hombre,Blanco,2025-07-03
50-59,Hombre,Blanco,2025-07-03
